,PortName,Latitude,Longitude,Coast,Size,color
0,BADAPUTI,19.3039,84.9655,Eastern,Small,icon2.png
1,BEYPORE,11.1736,75.804,Western,Very Small,icon1.png
2,BHARATI SHIPYARD,17.0405,73.2863,Western,Very Small,icon1.png
3,BHAVNAGAR,21.8029,72.1157,Western,Very Small,icon1.png
4,BHAVNAGAR NEW PORT,21.7609,72.2334,Western,Very Small,icon1.png
5,CHENNAI,13.0815,80.2921,Eastern,Large,icon4.png
6,CHENNAI ANCH,13.1031,80.3819,Eastern,Large,icon4.png
7,COCHIN,9.9546,76.2678,Western,Large,icon4.png
8,COCHIN ANCH,9.9576,76.0549,Western,Large,icon4.png
9,DABHOL,17.5512,73.1571,Western,Very Small,icon1.png
10,DAHEJ,21.6835,72.4965,Western,Small,icon2.png
11,DEMPO SHIPBUILDING,15.5003,73.8219,Western,Very Small,icon1.png
12,DHAMRA,20.8237,86.964,Eastern,Small,icon2.png
13,DHARAMTAR,18.7053,73.0282,Western,Very Small,icon1.png
14,DIGHI,18.2692,72.9722,Western,Very Small,icon1.png
15,ENNORE,13.0975,80.2935,Eastern,Small,icon2.png
16,ENNORE ANCH,13.2299,80.4079,Eastern,Small,icon2.png
17,GANGAVARAM,17.6215,83.2298,Eastern,Small,icon2.png
18,GHOGHA,21.6844,72.2751,Western,Very Small,icon1.png
19,HALDIA,22.0446,88.089,Eastern,Medium,icon3.png
20,HAZIRA,21.0895,72.6265,Western,Medium,icon3.png
21,HAZIRA ANCH,21.0297,72.5729,Western,Small,icon2.png
22,JAFRABAD,20.8674,71.3829,Western,Small,icon2.png
23,JAIGAD,17.2966,73.2155,Western,Very Small,icon1.png
24,JAKHAU,23.2424,68.6079,Western,Small,icon2.png
25,JAWAHARLAL NEHRU,18.9499,72.9512,Western,Large,icon4.png
26,KAKINADA,16.9313,82.3058,Eastern,Medium,icon3.png
27,KAKINADA ANCH,16.9399,82.2492,Eastern,Medium,icon3.png
28,KANDLA,23.0185,70.2311,Western,Large,icon4.png
29,KARAIKAL,10.8327,79.8573,Eastern,Very Small,icon1.png
30,KARWAR,14.7722,74.1343,Western,Small,icon2.png
31,KATTUPALLI,13.3047,80.3561,Eastern,Very Small,icon1.png
32,KOLKATA,22.5563,88.3049,Eastern,Large,icon4.png
33,KOLKATA ANCH,20.987,88.0019,Eastern,Large,icon4.png
34,KOLLAM,8.8753,76.5815,Western,Very Small,icon1.png
35,KOTTAPPURAM,10.679,76.1929,Western,Very Small,icon1.png
36,KRISHNAPATNAM,14.2546,80.1094,Eastern,Small,icon2.png
37,KRISHNAPATNAM ANCH,14.2364,80.2426,Eastern,Small,icon2.png
38,MAGDALLA,21.1429,72.7311,Western,Medium,icon3.png
39,MALPE,13.3443,74.6999,Western,Small,icon2.png
40,MANGALORE,12.9268,74.8062,Western,Medium,icon3.png
41,MANGALORE ANCH,12.9379,74.6765,Western,Medium,icon3.png
42,MANGROL,21.1217,70.1162,Western,Small,icon2.png
43,MORMUGAO,15.375,73.8397,Western,Very Small,icon1.png
44,MORMUGAO ANCH,15.425,73.7016,Western,Very Small,icon1.png
45,MUMBAI,18.9483,72.8442,Western,Large,icon4.png
46,MUMBAI ANCH,18.908,72.601,Western,Large,icon4.png
47,MUNDRA,22.756,69.6364,Western,Medium,icon3.png
48,MUNDRA ANCH,22.6637,69.6482,Western,Medium,icon3.png
49,NAGAPATTINAM,10.7595,79.8511,Eastern,Small,icon2.png
50,NAVLAKHI,22.9574,70.45,Western,Medium,icon3.png
51,NEWCASTLE ANCH,22.7143,70.074,Western,Medium,icon3.png
52,OKHA,22.4765,69.084,Western,Small,icon2.png
53,PANAJI,15.4826,73.7996,Western,Small,icon2.png
54,PARADIP,20.2777,86.6928,Eastern,Large,icon4.png
55,PARADIP ANCH,20.1271,86.735,Eastern,Very Small,icon1.png
56,PILIGAO,15.5517,73.9624,Western,Very Small,icon1.png
57,PIPAVAV,20.9175,71.5051,Western,Medium,icon3.png
58,PIPAVAV ANCH,20.8687,71.4798,Western,Medium,icon3.png
59,PORBANDAR,21.6307,69.6017,Western,Medium,icon3.png
60,PORT BLAIR,11.6234,92.7265,Eastern,Small,icon2.png
61,RANPAR,18.8913,73.2837,Western,Very Small,icon1.png
62,RATNAGIRI,17.0014,73.2752,Western,Small,icon2.png
63,SAGAR,21.2769,88.1096,Eastern,Very Small,icon1.png
64,SIKKA,22.4604,69.818,Western,Small,icon2.png
65,SIKKA ANCH,22.6461,69.9321,Western,Small,icon2.png
66,TUTICORIN,8.7819,78.1949,Eastern,Medium,icon3.png
67,TUTICORIN ANCH,8.7662,78.2702,Eastern,Medium,icon3.png
68,VADINAR,22.4545,69.675,Western,Very Small,icon1.png
69,VERAVAL,20.9019,70.3755,Western,Medium,icon3.png
70,VIJAYDURG,16.5562,73.33800000000001,Western,Very Small,icon1.png
71,VISAKHAPATNAM,17.6959,83.2873,Eastern,Large,icon4.png
72,VISAKHAPATNAM ANCH,17.6669,83.4264,Eastern,Large,icon4.png
